question,answers
what is the soil PH for blueberries., between 4.0 and 5.0
what is crop rotation in soil management?,a technique used in soil management to reduce soil-borne diseases and pests and improve soil fertility
what the required soil PH for beans, between 6.0 and 7.0
why is it advisable or recommended to conduct a soil test before fertilizer application.,to determine the soil nutrient levels and to calculate the appropriate fertilizer application rate
What are some of biological properties of soil that soil scientists study?, microbial communities that live in the soil and the interactions between these organisms and the plants that grow in the soil.
define field capacity?,"This refers to the maximum amount of water the soil can hold after it has been thoroughly wetted and excess water has drained away. At field capacity, there is enough water in the soil for plants to use, but excess water has drained away, leaving air spaces in the soil."
what is fumigation.,"is the treatment of a structure to kill pests such as wood-boring beetles by sealing it or surrounding it with an airtight cover such as a tent, and fogging with liquid insecticide for an extended period, typically of 24�72 hours"
what is the botanical name for Cassava green mite.,Mononychellus tanajoa
Can eating a genetically modified fruit or vegetable change a person’s genes?,Eating GMO products does not impact our genes. 
how has methane emissions negatively impacted crop yields.,by increasing temperatures and surface ozone concentrations.
Apart from naro where else can we get access to quality seeds/cuttings?,Agricultural research organizations
what is agricultural automation?,refers to autonomous navigation by robots without human intervention. 
How can i improve fertility of soil for proper production of maize without application of fertilizer,"Organic matter incorporation: Increase the organic matter content of the soil by incorporating organic materials such as compost, farmyard manure, cover crops, or crop residues. This improves soil structure, enhances nutrient retention, and promotes microbial activity.

Crop rotation and diversification: Rotate maize with leguminous crops (such as beans, peas, or clover) that fix nitrogen from the atmosphere and improve soil nitrogen levels. Crop rotation also helps break pest and disease cycles and promotes overall soil health.

Green manure cover crops: Plant cover crops like clover, vetch, or hairy vetch during fallow periods. These cover crops add organic matter, prevent soil erosion, and improve soil structure.

Mulching: Apply organic mulch, such as straw or crop residues, to the soil surface. Mulching helps conserve soil moisture, suppress weed growth, and slowly release nutrients into the soil as it decomposes."
Do farmers waste water?,"Water is necessary to grow plants that provide food, fiber and shelter for the world"
what factors should be considered to determine the exact number of cuttings needed for your specific planting,"The spacing between cassava plants can vary depending on the desired plant density and the specific variety being grown. Common spacing ranges from 1 meter by 1 meter to 1.2 meters by 1.2 meters. Calculate the number of plants per hectare based on the chosen spacing.

Planting method: Cassava can be planted directly in the field using single-stem cuttings or multiple-node stem cuttings. The number of cuttings required may vary depending on the planting method and the length of the cuttings."
Is maize growth affected by altitude?,The expert will reachout to help
